Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
il1g,,zm_conv_convtran.F90,index,X,index_of_first_column_of_gathered_deep_convection_arrays,,,,,,,,,
il2g,,zm_conv_convtran.F90,index,X,index_of_last_column_of_gathered_deep_convection_arrays,,,,,,,,,
dqdt,ptend%q,zm_conv_convtran.F90,none,X,tendency_of_ccpp_constituents,,,,,,,,,
dpdry,fake_dpdry,zm_conv_convtran.F90,hPa,X,air_pressure_thickness_of_dry_air_for_deep_convection_for_gathered_convective_columns,,,,,,,,,
latice,physconst,zm_conv_evap.F90,J kg-1,X,latent_heat_of_fusion_of_water_at_0c,,,,,,,,,
latvap,physconst,zm_conv_evap.F90,J kg-1,X,o,,,,,,,,,
tmelt,physconst,zm_conv_evap.F90,,X,freezing_point_of_water,,,,,,,,,
cpres, cpair physconst,zm_conv_evap.F90,J kg-1 K-1,X,specific_heat_of_dry_air_at_constant_pressure,,,,,,,,,
zmconv_ke,zm namelist,zm_conv_evap.F90,1,X,tunable_evaporation_efficiency_over_ocean_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_ke_lnd,zm namelist,zm_conv_evap.F90,1,X,tunable_evaporation_efficiency_over_land_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_org,zm namelist,zm_conv_evap.F90,flag,X,flag_for_convective_organization_parameterization_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
tend_s_snwprd,,zm_conv_evap.F90,J kg-1 s-1,X,tendency_of_dry_air_enthalpy_at_constant_pressure_due_to_frozen_precipitation_production_due_to_deep_convection,,,,,,,,,
tend_s_snwevmlt,,zm_conv_evap.F90,J kg-1 s-1,X,tendency_of_dry_air_enthalpy_at_constant_pressure_due_to_evaporation_and_melting_of_frozen_precipitation_due_to_deep_convection,,,,,,,,,
"ptend%q(:,:,1)",,zm_conv_evap.F90,kg kg-1 s-1,X,tendency_of_water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water,,,,,,,,,
ntprprd,ZMNTPRPD (outfld),zm_conv_evap.F90,kg kg-1 s-1,X,tendency_of_precipitation_wrt_moist_air_and_condensed_water_due_to_deep_convection,,,,,,,,,
ntsnprd,ZMNTSNPD (outfld),zm_conv_evap.F90,kg kg-1 s-1,X,tendency_of_frozen_precipitation_wrt_moist_air_and_condensed_water_due_to_deep_convection,,,,,,,,,
flxprec,ZMFLXPRC (outfld),zm_conv_evap.F90,kg m-2 s-1,X,precipitation_flux_at_interface_due_to_deep_convection,,,,,,,,,
flxsnow,ZMFLXSNW (outfld),zm_conv_evap.F90,kg m-2 s-1,X,frozen_precipitation_flux_at_interface_due_to_deep_convection,,,,,,,,,
prdsnow,,zm_conv_evap.F90,kg kg-1 s-1,X,tendency_of_frozen_precipitation_wrt_moist_air_and_condensed_water_due_to_source_processes,,,,,,,,,
domomtran,,zm_conv_momtran.F90,flag,X,flag_for_momentum_transport_by_zhang_mcfarlane_deep_convection_scheme,,,separate into two variables?,,,,,,
momcu,zm namelist,zm_conv_momtran.F90,1,X,tunable_parameter_for_momentum_transport_by_updraft_in_zhang_mcfarlane_deep_convection_scheme,,,separate into two variables?,,,,,,
momcd,zm_namelist,zm_conv_momtran.F90,1,X,tunable_parameter_for_momentum_transport_by_downdraft_in_zhang_mcfarlane_deep_convection_scheme,,,separate into two variables?,,,,,,
pguallu,ZMUPGU and ZMVPGU (outfld),zm_conv_momtran.F90,m s-2,X,tendency_of_eastward_wind_due_to_zhang_mcfarlane_deep_convective_updraft_pressure_gradient_term,,,separate into two variables?,,,,,,
pguallv,,,m s-2,X,tendency_of_northward_wind_due_to_zhang_mcfarlane_deep_convective_updraft_pressure_gradient_term,,,,,,,,,
pgdallu,ZMUPGD and ZMVPGD (outfld),zm_conv_momtran.F90,m s-2,X,tendency_of_eastward_wind_due_to_zhang_mcfarlane_deep_convective_downdraft_pressure_gradient_term,,,separate into two variables?,,,,,,
pgdallv,,,m s-2,X,tendency_of_northward_wind_due_to_zhang_mcfarlane_deep_convective_downdraft_pressure_gradient_term,,,,,,,,,
icwuu,ZMICUU and ZMICVU (outfld),zm_conv_momtran.F90,m s-1,X,in_cloud_eastward_wind_in_updraft_due_to_deep_convection,X,,separate into two variables?,,,,,,
icwuv,,,m s-1,X,in_cloud_northward_wind_in_updraft_due_to_deep_convection,X,,,,,,,,
icwdu,ZMICUD and ZMICVD (outfld),zm_conv_momtran.F90,m s-1,X,in_cloud_eastward_wind_in_downdraft_due_to_deep_convection,X,,separate into two variables?,,,,,,
icwdv,,,m s-1,X,in_cloud_northward_wind_in_downdraft_due_to_deep_convection,X,,,,,,,,
seten,ptend%s,zm_conv_momtran.F90,J kg-1 s-1,X,tendency_of_dry_air_enthalpy_at_constant_pressure,X,X,Will be in ESCOMP as soon as my PR is merged; separate into two variables?,,,,,,
epsilo,physconst,zm_convr.F90,1,X,ratio_of_water_vapor_to_dry_air_molecular_weights,X,,"Need to replace ""h2o"" with ""water_vapor"" in CAM-SIMA",,,,,,
gravit,physconst,zm_convr.F90,m s-2,X,standard_gravitational_acceleration,X,X,,,,,,,
limcnv_in,top interface level limit for convection,zm_convr.F90,index,X,vertical_interface_index_of_deep_convection_height_limit,,,,,,,,,
zmconv_c0_lnd,zm namelist,zm_convr.F90,m-1?,,cloud_condensate_to_precipitation_autoconversion_coefficient_over_land_for_zhang_mcfarlane_deep_convection_scheme,,,Adam to look into units,,,,,,
zmconv_c0_ocn,zm namelist,zm_convr.F90,m-1?,,cloud_condensate_to_precipitation_autoconversion_coefficient_over_ocean_for_zhang_mcfarlane_deep_convection_scheme,,,Adam to look into units,,,,,,
zmconv_momcu,zm namelist,zm_convr.F90,1,X,momentum_transport_parameter_for_vertical_pressure_gradient_force_for_updraft_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_momcd,zm namelist,zm_convr.F90,1,X,momentum_transport_parameter_for_vertical_pressure_gradient_force_for_downdraft_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_num_cin,zm namelist,zm_convr.F90,count,X,number_of_negative_buoyancy_layers_allowed_before_convection_top_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
no_deep_pbl,"if true, no deep convection in PBL",zm_convr.F90,flag,X,flag_for_no_deep_convection_in_pbl,,,,,,,,,
zmconv_tiedke_add,convective parcel temperature perturbation,zm_convr.F90,K,X,parcel_temperature_perturbation_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_capelmt,zm namelist; triggering threhsold for ZM convection,zm_convr.F90,J kg-1,X,cape_threshold_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_dmpdz,zm namelist; parcel fractional mass entrainment rate,zm_convr.F90,m-1,X,entrainment_rate_for_cape_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_parcel_pbl,zm namelist; switch for parcel pbl calculation,zm_convr.F90,flag,X,flag_for_well_mixed_pbl_parcel_property_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
zmconv_tau,zm namelist; timesecale for convection,zm_convr.F90,s,X,deep_convective_adjustment_timescale_for_zhang_mcfarlane_deep_convection_scheme,,,,,,,,,
cpwv,physconst,zm_convr.F90,J kg-1 K-1,X,specific_heat_of_water_vapor_at_constant_pressure,,,This is what the standard name/units are in CAM-SIMA,,,,,,
cpliq,physconst,zm_convr.F90,J kg-1 K-1,X,specific_heat_of_liquid_water_at_constant_pressure,X,,,,,,,,
rh2o,physconst,zm_convr.F90,J kg-1 K-1,X,gas_constant_of_water_vapor,,,This is what the standard name/units are in CAM-SIMA,,,,,,
jctop,o row top-of-deep-convection indices passed out,zm_convr.F90,index,X,vertical_index_at_top_of_deep_convection,,,"NOTE:  There may be a bug here, in that it is declared a real but appears to be dealing with integers",,,,,,
jcbot,o row of base of cloud indices passed out,zm_convr.F90,index,X,vertical_index_of_deep_convection_launch_level,,,"NOTE:  There may be a bug here, in that it is declared a real but appears to be dealing with integers",,,,,,
zm,state%zm,zm_convr.F90,m,X,geopotential_height_wrt_surface,X,X,,,,,,,
geos,state%phis,zm_convr.F90,m2 s-2,X,surface_geopotential,X,X,,,,,,,
zi,state%zi,zm_convr.F90,m,X,geopotential_height_wrt_surface_at_interface,X,X,,,,,,,
pap,state%pmid,zm_convr.F90,Pa,X,air_pressure,X,X,,,,,,,
paph,state%pint,zm_convr.F90,Pa,X,air_pressure_at_interface,X,X,,,,,,,
dpp,state%pdel,zm_convr.F90,Pa,X,air_pressure_thickness,X,X,,,,,,,
delt,0.5 * timestep_for_physics,zm_convr.F90,s,X,half_timestep_for_physics,X,,"Is""0.5"" is incorrect? <- ADAM",,possible bug?,,,,
mcon,convective mass flux--m sub c,zm_convr.F90,hPa s-1,X,atmosphere_convective_mass_flux_due_to_deep_convection,,,,,,,,,
cme,cmf condensation - evaporation (is this the same as CMELIQ?),zm_convr.F90,,kg kg-1 s-1,tendency_of_water_vapor_mixing_ratio_wrt_moist_air and_condensed_water_from_cloud_condensation_minus_precipitation_evaporation_due_to_deep_convection,X,,,,,,,,
cape,w convective available potential energy,zm_convr.F90,,J kg-1,zhang_mcfarlane_convective_available_potential_energy,,,,,,,,,
org,Organization of deep convection (unitless),zm_convr.F90,1,X,zhang_mcfarlane_organization_parameter_of_deep_convection,,,,,,,,,
orgt,Single level value of organization (org) copied to the whole column (required for constituent advection),zm_convr.F90,S-1,X,tendency_of_zhang_mcfarlane_organization_parameter_of_deep_convection,,,,,,,,,
org2d,Tendency of convective organization (unitless/second),zm_convr.F90,1,X,zhang_mcfarlane_organization_parameter_of_deep_convection_copied_to_whole_column,,,,,,,,,
