Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
pbuf_DRYMASS,single-particle-mean dry mass,modal_aero_calcsize: line 1421,kg,,,,,,,ask chemists,,,,
pbuf_DRYRAD,dry volume mean radius of aerosol,modal_aero_calcsize: line 1420,m,,,,,,,ask chemists,,,,
pbuf_DRYVOL, single-particle-mean dry volume,modal_aero_calcsize: line 1419,m3,,,,,,,ask chemists,,,,
pbuf_DTCORE,T tendency due to dynamical core,check_energy.F90: line 206,K s-1,X,tendency_of_air_temperature_due_to_dynamics,X,,,,,,,,
pbuf_DUCORE,,check_energy.F90,m s-2,X,tendency_of_eastward_wind_due_to_dynamics,X,,,,,,,,
pbuf_DVCORE,,check_energy.F90,m s-2,X,tendency_of_northward_wind_due_to_dynamics,X,,,,,,,,
pbuf_FICE,Fractional ice content within cloud,cam_dev/micro_pumas_cam.F90: line 965,frac,X,mass_fraction_of_ice_content_within_stratiform_cloud,,,,,not in GSL file; qlcn_i is convective version,,,,
pbuf_FLNS,Clearsky net longwave flux at surface,rrtmg/radiation.F90 : line 581,W m-2,X,,,,,,,,,,
pbuf_FLNT,Net longwave flux at top of model,rrtmg/radiation.F90 : line 560,W m-2,X,,,,,,,,,,
pbuf_FRACIS,fraction of transported species that are insoluble,modal_aero/aero_model.F90: line 1066,frac,,fraction_of_water_insoluble_convectively_transported_species,X,,,,ask chemists,,,,
pbuf_FRZCNT,Number tendency due to contact freezing,pumas/micro_pumas_v1.F90:line 781,cm-3,,ice_number_concentration_tendency_due_to_contact_freezing,,,,,not in GSL file,ask andrew about units and whether tendency,,,
pbuf_FRZDEP,Number tendency due to deposition nucleation,pumas/micro_pumas_v1.F90:line 782,cm-3,,ice_number_concentration_tendency_due_to_deposition_nucleation,,,,,not in GSL file,ask andrew about units and whether tendency,,,
pbuf_FRZIMM,Number tendency due to immersion freezing,pumas/micro{pumas_v1.F90: line 780,cm-3,,ice_number_concentration_tendency_due_to_immersion_freezing,,,,,not in GSL file,ask andrew about units and whether tendency,,,
pbuf_FSDS,Downwelling solar flux at surface,rrtmg/radiation.F90: line 516,W m-2,X,,,,,,,,,,
pbuf_FSNS,Net solar flux at surface,rrtmg/radiaton.F90: line 511,W m-2,X,,,,,,,,,,
pbuf_FSNT,Net solar flux at top of model,rrtmg/radiation.F90: line 476,W m-2,X,,,,,,,,,,
pbuf_HYGRO, volume-weighted mean hygroscopicity,chemistry/utils/modal_aero_calcsize.F90,unitless?????,,,,,,,units: ask chemists,,,,
pbuf_ICGRAUWP,In-cloud snow water path,cam_dev/micro_pumas_cam.F90: line 1625,kg m-2,X,stratiform_in_cloud_graupel_water_path,,,Snapshot name is wrong,,not in GSL file,,,,
pbuf_ICIWP,radiation input: In-cloud ice water path,radiation_data.F90: line 363,kg m-2,X,,,,,,,,,,
pbuf_ICIWPST,Stratiform only in cloud ice water path for radiation,cam_dev/micro_pumas.F90: line 645,kg m-2,X,stratiform_in_cloud_ice_water_path_for_radiation,,,,,not in GSL file,,,,
pbuf_ICLWP, In cloud liquid water path for radiation,cloud_diagnostics.F90: line 80,kg m-2,X,,,,,,,,,,
pbuf_ICLWPST,Stratiform in cloud liquid water path for radiation,cam_dev/micro_pumas.F90: line 647,kg m-2,X,stratiform_in_cloud_liquid_water_path_for_radiation,,,,,not in GSL file,,,,
pbuf_ICSWP,radiation input: In-cloud snow water path,radiation_data.F90: line 367,kg m-2,X,,,,,,,,,,
pbuf_ICWMRDP,Deep Convection in-cloud water mixing ratio,convect_deep.F90: line 165,kg kg-1,X,in_cloud_water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_deep_convection,X,,,,,,,,
pbuf_ICWMRSH,Shallow Convection in-cloud water mixing ratio,convect_shallow.F90: line 231,kg kg-1,X,in_cloud_water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_shallow_convection,,,,,,,,,
pbuf_ISS_FRAC,Cloud fraction of ice clouds,clubb_intr.F90: line 2210,frac,X,ice_supersaturated_cloud_area_fraction,,,,,,,,,
pbuf_LAMBDAC,radiation input: slope of droplet distribution for optics (radiation),radiation_data.F90: line 361,1,X,,,,,,,,,,
pbuf_LANDM,,cam_dev/physpkg.F90,frac,X,smoothed_land_fraction,,,,,,,,,
pbuf_LS_FLXPRC,MG grid-box mean flux_large_scale_cloud_rain+snow at interfaces,micro_pumas_cam.F90: line 1554,kg m-2 s-1,X, stratiform_rain_and_snow_flux_at_interface,,,,,,,,,
pbuf_LS_FLXSNW,MG grid-box mean flux_large_scale_cloud_snow at interfaces,micro_pumas_cam.F90: line 1555,kg m-2 s-1,X,stratiform_snow_flux_at_interface,,,,,,,,,
pbuf_LS_MRPRC,MG grid-box mean mixingratio_large_scale_cloud_rain+snow at interfaces,micro_pumas_cam.F90: line 1556,kg kg-1,X,stratiform_mixing_ratio_of_snow_wrt_moist_air_and_condensed_water_at_interface,,,,,,,,,
pbuf_LS_MRSNW,MG grid-box mean mixingratio_large_scale_cloud_snow at interfaces,micro_pumas_cam.F90: line 1557,kg kg-1,X,stratiform_mixing_ratio_of_rain_and_snow_wrt_moist_air_and_condensed_water_at_interface,,,,,,,,,
pbuf_LS_REFFRAIN,MG diagnostic rain effective radius (um),micro_pumas_cam.F90: line 1558,micron,X,diagnostic_rain_effective_radius_due_to_microphysics,,,,,,,,,
pbuf_LS_REFFSNOW,MG diagnostic snow effective radius (um),micro_pumas_cam.F90: line 1559,micron,X,diagnostic_snow_effective_radius_due_to_microphysics,,,,,,,,,
